ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,covid_period,covid_period_lower,covid_period_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,gdp_growth,gdp_growth_lower,gdp_growth_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-01-01,234899.8263563145,62196.98952209297,145737.94142487884,234899.8263563145,234899.8263563145,-129913.60938644063,-129913.60938644063,-129913.60938644063,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.5256198695,-134745.5256198695,-134745.5256198695,0.0,0.0,0.0,104986.21696987387
2013-01-01,248732.61834449955,89466.05643391662,171021.84524086837,248732.61834449955,248732.61834449955,-118539.85698943706,-118539.85698943706,-118539.85698943706,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322286593,-123371.77322286593,-123371.77322286593,0.0,0.0,0.0,130192.7613550625
2014-01-01,262544.48398911254,95568.45459403165,179262.05673419274,262544.48398911254,262544.48398911254,-124690.94274406004,-124690.94274406004,-124690.94274406004,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897748891,-129522.85897748891,-129522.85897748891,0.0,0.0,0.0,137853.5412450525
2015-01-01,276364.46755909163,106195.71783169147,189866.9295449047,276364.46755909163,276364.46755909163,-128483.66411374572,-128483.66411374572,-128483.66411374572,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034717457,-133315.58034717457,-133315.58034717457,0.0,0.0,0.0,147880.8034453459
2016-01-01,290184.4511290708,120476.43217075923,202603.0836507503,290184.4511290708,290184.4511290708,-129913.60938644675,-129913.60938644675,-129913.60938644675,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.52561987564,-134745.52561987564,-134745.52561987564,0.0,0.0,0.0,160270.841742624
2017-01-01,304042.29766773485,144177.5312275462,222202.45602071134,304042.29766773485,304042.29766773485,-118539.85698938584,-118539.85698938584,-118539.85698938584,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.7732228147,-123371.7732228147,-123371.7732228147,0.0,0.0,0.0,185502.440678349
2018-01-01,317862.28123771393,149914.75014418506,234302.27365961412,317862.28123771393,317862.28123771393,-124690.94274402435,-124690.94274402435,-124690.94274402435,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897745322,-129522.85897745322,-129522.85897745322,0.0,0.0,0.0,193171.3384936896
2018-12-31,331644.40183900826,169055.29054807418,250211.48375272943,331443.9095301052,331826.06474187283,-120044.42662501773,-120044.42662501773,-120044.42662501773,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-124876.3428584466,-124876.3428584466,-124876.3428584466,0.0,0.0,0.0,211599.97521399055
2019-12-31,345464.3854089874,196246.04765037636,273658.94671466656,344841.3730988582,346095.16615598457,-112061.45329809585,-112061.45329809585,-112061.45329809585,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-116893.36953152472,-116893.36953152472,-116893.36953152472,0.0,0.0,0.0,233402.93211089156
2020-12-31,359322.2319476514,188592.98131034136,270899.0873576983,358182.4869352817,360515.88527033053,-128980.48460384828,-128980.48460384828,-128980.48460384828,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133812.40083727715,-133812.40083727715,-133812.40083727715,0.0,0.0,0.0,230341.74734380314
2021-12-31,373142.21551763057,206263.15777066257,287547.4003074397,371398.8806906604,375064.6079754994,-125688.11285103516,-125688.11285103516,-125688.11285103516,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-130520.02908446403,-130520.02908446403,-130520.02908446403,0.0,0.0,0.0,247454.10266659543
2022-12-31,386962.19908760965,227412.3338225954,305604.9236432596,384398.05266638397,389593.75028371235,-120044.42662501827,-120044.42662501827,-120044.42662501827,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-124876.34285844714,-124876.34285844714,-124876.34285844714,0.0,0.0,0.0,266917.7724625914
2023-12-31,400782.1826575888,245941.5836668061,332376.6930882594,397278.29830533924,404362.2369687107,-112061.45329801628,-112061.45329801628,-112061.45329801628,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-116893.36953144515,-116893.36953144515,-116893.36953144515,0.0,0.0,0.0,288720.7293595725
2024-12-31,414640.0291962528,243497.40839408338,327167.0325465681,410115.6198801348,419230.68151875964,-128980.48460388233,-128980.48460388233,-128980.48460388233,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133812.4008373112,-133812.4008373112,-133812.4008373112,0.0,0.0,0.0,285659.5445923705
2025-12-31,428460.01276623196,260409.76715116863,345562.1404655596,422967.8417759992,434026.81060575816,-125688.11285101117,-125688.11285101117,-125688.11285101117,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-130520.02908444004,-130520.02908444004,-130520.02908444004,0.0,0.0,0.0,302771.8999152208
2026-12-31,442279.99633621104,280194.1905323711,361772.39304302464,435865.27967453236,449034.5954945354,-120044.42662505001,-120044.42662505001,-120044.42662505001,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-124876.34285847888,-124876.34285847888,-124876.34285847888,0.0,0.0,0.0,322235.569711161
2027-12-31,456099.97990619024,304770.414666267,385265.84537258436,448681.8252325018,464044.61370607174,-112061.4532981269,-112061.4532981269,-112061.4532981269,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-116893.36953155577,-116893.36953155577,-116893.36953155577,0.0,0.0,0.0,344038.5266080634
