ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,covid_period,covid_period_lower,covid_period_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,gdp_growth,gdp_growth_lower,gdp_growth_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2011-01-01,221113.31693251434,82226.6321764293,160973.84801506548,221113.31693251434,221113.31693251434,-99186.10911368624,-99186.10911368624,-99186.10911368624,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-133315.58034719038,-133315.58034719038,-133315.58034719038,0.0,0.0,0.0,121927.2078188281
2012-01-01,234899.8263563145,91998.20711043075,174340.04964021125,234899.8263563145,234899.8263563145,-100616.05438636534,-100616.05438636534,-100616.05438636534,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-134745.5256198695,-134745.5256198695,-134745.5256198695,0.0,0.0,0.0,134283.77196994916
2013-01-01,248732.61834449955,119413.25945286664,197461.20379295043,248732.61834449955,248732.61834449955,-89242.30198936177,-89242.30198936177,-89242.30198936177,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-123371.77322286593,-123371.77322286593,-123371.77322286593,0.0,0.0,0.0,159490.3163551378
2014-01-01,262544.48398911254,125528.9343511122,208102.63407095845,262544.48398911254,262544.48398911254,-95393.38774398476,-95393.38774398476,-95393.38774398476,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-129522.85897748891,-129522.85897748891,-129522.85897748891,0.0,0.0,0.0,167151.0962451278
2015-01-01,276364.46755909163,135290.77915705767,219966.4898355641,276364.46755909163,276364.46755909163,-99186.10911367043,-99186.10911367043,-99186.10911367043,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-133315.58034717457,-133315.58034717457,-133315.58034717457,0.0,0.0,0.0,177178.3584454212
2016-01-01,290184.4511290708,146427.48305567875,229737.49382431293,290184.4511290708,290184.4511290708,-100616.05438637147,-100616.05438637147,-100616.05438637147,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-134745.52561987564,-134745.52561987564,-134745.52561987564,0.0,0.0,0.0,189568.39674269932
2017-01-01,304042.29766773485,173736.36390742328,255215.06105443378,304042.29766773485,304042.29766773485,-89242.30198931055,-89242.30198931055,-89242.30198931055,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-123371.7732228147,-123371.7732228147,-123371.7732228147,0.0,0.0,0.0,214799.9956784243
2018-01-01,317862.28123771393,178572.9700842808,263544.0472095073,317862.28123771393,317862.28123771393,-95393.38774394906,-95393.38774394906,-95393.38774394906,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-129522.85897745322,-129522.85897745322,-129522.85897745322,0.0,0.0,0.0,222468.89349376486
2018-12-31,331644.40183900826,200208.47868860612,279371.0700255856,331455.1613791175,331856.97963807243,-90746.87162494245,-90746.87162494245,-90746.87162494245,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-124876.3428584466,-124876.3428584466,-124876.3428584466,0.0,0.0,0.0,240897.5302140658
2019-12-31,345464.3854089874,222333.27994156315,303117.2282105315,344847.0683805146,346179.5951951341,-82763.89829802056,-82763.89829802056,-82763.89829802056,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-116893.36953152472,-116893.36953152472,-116893.36953152472,0.0,0.0,0.0,262700.4871109668
2020-12-31,359322.2319476514,221968.0989544889,298736.0309315781,358133.84477684833,360685.1934971022,-99682.92960377266,-99682.92960377266,-99682.92960377266,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-133812.4008372768,-133812.4008372768,-133812.4008372768,0.0,0.0,0.0,259639.30234387878
2021-12-31,373142.21551763057,232701.59009720734,319551.49665000505,371332.39377307583,375294.3515691414,-96390.55785096028,-96390.55785096028,-96390.55785096028,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-130520.02908446443,-130520.02908446443,-130520.02908446443,0.0,0.0,0.0,276751.6576666703
2022-12-31,386962.19908760965,250922.13004284073,334752.1285332789,384438.43172006676,390140.4667550754,-90746.87162494278,-90746.87162494278,-90746.87162494278,0.0,0.0,0.0,34129.47123350415,34129.47123350415,34129.47123350415,2831.8730293288836,2831.8730293288836,2831.8730293288836,31297.59820417526,31297.59820417526,31297.59820417526,-124876.34285844694,-124876.34285844694,-124876.34285844694,0.0,0.0,0.0,296215.3274626669
